"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube","Searched for Microsoft Certified: Azure Data Scientist Associate","https://www.youtube.com/results?search_query\u003dMicrosoft+Certified:+Azure+Data+Scientist+Associate","2023-05-30T18:27:05.068Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for beetlejuice","https://www.youtube.com/results?search_query\u003dbeetlejuice","2023-05-30T05:52:32.122Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Beetlejuice","https://www.youtube.com/results?search_query\u003dBeetlejuice","2023-05-30T05:52:25.296Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for what you doing just hanging around","https://www.youtube.com/results?search_query\u003dwhat+you+doing+just+hanging+around","2023-05-30T05:50:46.136Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for tora tora tora","https://www.youtube.com/results?search_query\u003dtora+tora+tora","2023-05-29T16:11:57.784Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for bad habits shaun","https://www.youtube.com/results?search_query\u003dbad+habits+shaun","2023-05-29T15:56:14.658Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for bad habits","https://www.youtube.com/results?search_query\u003dbad+habits","2023-05-29T15:56:05.223Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for cupid","https://www.youtube.com/results?search_query\u003dcupid","2023-05-29T15:52:38.813Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for wolf totem","https://www.youtube.com/results?search_query\u003dwolf+totem","2023-05-29T15:33:47.661Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for hong ma","https://www.youtube.com/results?search_query\u003dhong+ma","2023-05-29T15:21:39.892Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 长安姑娘","https://www.youtube.com/results?search_query\u003d%E9%95%BF%E5%AE%89%E5%A7%91%E5%A8%98","2023-05-29T15:16:58.667Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 平安姑娘","https://www.youtube.com/results?search_query\u003d%E5%B9%B3%E5%AE%89%E5%A7%91%E5%A8%98","2023-05-29T15:16:29.528Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
